fecha_hora,1,2,3,4,5,6,7,8
7,,Trabaja,,,Trabaja,Trabaja,,Trabaja
8,Trabaja,Trabaja,Trabaja,Trabaja,,Trabaja,Trabaja,Trabaja
9,,,Trabaja,Trabaja,,,Trabaja,
10,,,Trabaja,Trabaja,,,,
11,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,
12,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,
13,Trabaja,,,,,,Nada,Trabaja
14,Trabaja,Trabaja,Trabaja,Trabaja,,Trabaja,,
15,,,,,,Trabaja,,Trabaja
16,,,Trabaja,,,,,
17,,Trabaja,Trabaja,,,,,
18,,Trabaja,,,,,Trabaja,
